Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
32,68,14,9.0,7.0,2012.0,32.0,68.0,14.0,9.0,0
33,69,13,10.0,7.0,2012.0,33.0,69.0,13.0,10.0,0
33,76,14,11.0,7.0,2012.0,33.0,76.0,14.0,11.0,0
31,75,13,12.0,7.0,2012.0,31.0,75.0,13.0,12.0,0
34,81,15,13.0,7.0,2012.0,34.0,81.0,15.0,13.0,0
34,61,13,14.0,7.0,2012.0,34.0,61.0,13.0,14.0,0
30,80,19,15.0,7.0,2012.0,30.0,80.0,19.0,15.0,0
28,76,21,16.0,7.0,2012.0,28.0,76.0,21.0,16.0,0
29,70,14,17.0,7.0,2012.0,29.0,70.0,14.0,17.0,1
31,68,14,18.0,7.0,2012.0,31.0,68.0,14.0,18.0,1
35,59,17,19.0,7.0,2012.0,35.0,59.0,17.0,19.0,1
33,65,15,20.0,7.0,2012.0,33.0,65.0,15.0,20.0,1
33,70,17,21.0,7.0,2012.0,33.0,70.0,17.0,21.0,1
28,79,18,22.0,7.0,2012.0,28.0,79.0,18.0,22.0,0
27,66,22,23.0,7.0,2012.0,27.0,66.0,22.0,23.0,0
28,78,16,24.0,7.0,2012.0,28.0,78.0,16.0,24.0,0
31,65,18,25.0,7.0,2012.0,31.0,65.0,18.0,25.0,1
36,53,19,26.0,7.0,2012.0,36.0,53.0,19.0,26.0,1
36,48,13,27.0,7.0,2012.0,36.0,48.0,13.0,27.0,1
33,76,15,28.0,7.0,2012.0,33.0,76.0,15.0,28.0,1
32,73,15,29.0,7.0,2012.0,32.0,73.0,15.0,29.0,1
31,79,15,30.0,7.0,2012.0,31.0,79.0,15.0,30.0,1
35,64,17,31.0,7.0,2012.0,35.0,64.0,17.0,31.0,1
36,45,14,1.0,8.0,2012.0,36.0,45.0,14.0,1.0,0
35,55,12,2.0,8.0,2012.0,35.0,55.0,12.0,2.0,0
35,63,14,3.0,8.0,2012.0,35.0,63.0,14.0,3.0,0
34,69,13,4.0,8.0,2012.0,34.0,69.0,13.0,4.0,1
34,65,13,5.0,8.0,2012.0,34.0,65.0,13.0,5.0,1
32,75,14,6.0,8.0,2012.0,32.0,75.0,14.0,6.0,1
32,69,16,7.0,8.0,2012.0,32.0,69.0,16.0,7.0,1
32,60,18,8.0,8.0,2012.0,32.0,60.0,18.0,8.0,0
35,59,17,9.0,8.0,2012.0,35.0,59.0,17.0,9.0,1
35,55,14,10.0,8.0,2012.0,35.0,55.0,14.0,10.0,1
35,63,13,11.0,8.0,2012.0,35.0,63.0,13.0,11.0,1
35,51,13,12.0,8.0,2012.0,35.0,51.0,13.0,12.0,0
35,63,15,13.0,8.0,2012.0,35.0,63.0,15.0,13.0,1
33,66,14,14.0,8.0,2012.0,33.0,66.0,14.0,14.0,1
36,55,13,15.0,8.0,2012.0,36.0,55.0,13.0,15.0,1
36,61,18,16.0,8.0,2012.0,36.0,61.0,18.0,16.0,1
37,52,18,17.0,8.0,2012.0,37.0,52.0,18.0,17.0,1
36,54,18,18.0,8.0,2012.0,36.0,54.0,18.0,18.0,1
35,62,19,19.0,8.0,2012.0,35.0,62.0,19.0,19.0,1
35,68,19,20.0,8.0,2012.0,35.0,68.0,19.0,20.0,1
36,58,19,21.0,8.0,2012.0,36.0,58.0,19.0,21.0,1
36,55,18,22.0,8.0,2012.0,36.0,55.0,18.0,22.0,1
36,53,16,23.0,8.0,2012.0,36.0,53.0,16.0,23.0,1
34,64,14,24.0,8.0,2012.0,34.0,64.0,14.0,24.0,1
35,60,15,25.0,8.0,2012.0,35.0,60.0,15.0,25.0,1
31,78,18,26.0,8.0,2012.0,31.0,78.0,18.0,26.0,1
33,82,21,27.0,8.0,2012.0,33.0,82.0,21.0,27.0,1
34,64,16,28.0,8.0,2012.0,34.0,64.0,16.0,28.0,1
35,48,18,29.0,8.0,2012.0,35.0,48.0,18.0,29.0,1
35,70,17,30.0,8.0,2012.0,35.0,70.0,17.0,30.0,0
28,80,21,31.0,8.0,2012.0,28.0,80.0,21.0,31.0,0
25,76,17,1.0,9.0,2012.0,25.0,76.0,17.0,1.0,0
22,86,15,2.0,9.0,2012.0,22.0,86.0,15.0,2.0,0
25,78,15,3.0,9.0,2012.0,25.0,78.0,15.0,3.0,0
29,73,17,4.0,9.0,2012.0,29.0,73.0,17.0,4.0,0
29,75,16,5.0,9.0,2012.0,29.0,75.0,16.0,5.0,1
29,74,19,6.0,9.0,2012.0,29.0,74.0,19.0,6.0,0
31,71,17,7.0,9.0,2012.0,31.0,71.0,17.0,7.0,0
30,73,17,8.0,9.0,2012.0,30.0,73.0,17.0,8.0,0
30,77,15,9.0,9.0,2012.0,30.0,77.0,15.0,9.0,0
33,73,12,10.0,9.0,2012.0,33.0,73.0,12.0,10.0,0
30,77,21,11.0,9.0,2012.0,30.0,77.0,21.0,11.0,0
29,88,13,12.0,9.0,2012.0,29.0,88.0,13.0,12.0,0
25,86,21,13.0,9.0,2012.0,25.0,86.0,21.0,13.0,0
22,76,26,14.0,9.0,2012.0,22.0,76.0,26.0,14.0,0
24,82,15,15.0,9.0,2012.0,24.0,82.0,15.0,15.0,0
30,65,14,16.0,9.0,2012.0,30.0,65.0,14.0,16.0,0
31,52,14,17.0,9.0,2012.0,31.0,52.0,14.0,17.0,1
32,49,11,18.0,9.0,2012.0,32.0,49.0,11.0,18.0,1
29,57,14,19.0,9.0,2012.0,29.0,57.0,14.0,19.0,1
28,84,18,20.0,9.0,2012.0,28.0,84.0,18.0,20.0,1
31,55,11,21.0,9.0,2012.0,31.0,55.0,11.0,21.0,1
31,50,19,22.0,9.0,2012.0,31.0,50.0,19.0,22.0,0
32,54,11,23.0,9.0,2012.0,32.0,54.0,11.0,23.0,0
29,65,19,24.0,9.0,2012.0,29.0,65.0,19.0,24.0,0
26,81,21,25.0,9.0,2012.0,26.0,81.0,21.0,25.0,0
31,54,11,26.0,9.0,2012.0,31.0,54.0,11.0,26.0,0
31,66,11,27.0,9.0,2012.0,31.0,66.0,11.0,27.0,1
32,47,14,28.0,9.0,2012.0,32.0,47.0,14.0,28.0,0
26,80,16,29.0,9.0,2012.0,26.0,80.0,16.0,29.0,0
25,78,14,30.0,9.0,2012.0,25.0,78.0,14.0,30.0,0
